AuthorName	TitleName	TagName
Curwood, James Oliver	The River's end	Literatura Universal
Curwood, James Oliver	Baree, Son of Kazan	Literatura Universal
Cuéllar, José Tomás de	Baile y cochino...	Literatura Hispanoamericana
Cruz, sor Juana Inés de la	Selección de poemas (Cruz, sor Juana Inés de la)	Literatura Hispanoamericana
Cruz, sor Juana Inés de la	Respuesta a Sor Filotea de la Cruz	Literatura Hispanoamericana
Cruz, sor Juana Inés de la	Poesía	Literatura Hispanoamericana
Cruz, sor Juana Inés de la	Los empeños de una casa	Literatura Hispanoamericana
Couto Castillo, Bernardo	Asfódelos	Literatura Hispanoamericana
Conrad, Joseph	La flecha de oro	Literatura Universal
Conrad, Joseph	La aventura	Literatura Universal
Conrad, Joseph	Heart of Darkness	Literatura Universal
Conrad, Joseph	El corazón de las tinieblas	Literatura Universal
Confucio	Analectas	Literatura Universal
Comte, Auguste	Discurso sobre el espíritu positivo	Literatura Universal
Coloma, Luis	Pelusa: cuento infantil	Literatura Universal
Coloma, Luis	Pelusa: cuento infantil	Infantil y juvenil
Collodi, Carlo	Las aventuras de Pinocho	Infantil y juvenil
Cieza de León, Pedro	Crónica del Perú	Historia y Novela histórica
Christian Andersen, Hans	La sirenita	Infantil y juvenil
Chopin, Kate	El despertar	Literatura Universal
Chesterton, G. K.	El hombre que fue jueves	Literatura Universal
Chéjov, Antón	El reino de las mujeres	Literatura Universal
Chéjov, Antón	El jardín de los cerezos	Literatura Universal
Chéjov, Antón	Aniuta	Literatura Universal
Chateaubriand, François-René de	Ensayo sobre las revoluciones	Ensayo
Chateaubriand, François-Rene	Atala	Historia y Novela histórica
Chambers, Robert W.	El Rey de Amarillo	Literatura Universal
Cervantes Saavedra, Miguel de	La galatea	Literatura Hispanoamericana
Cervantes Saavedra, Miguel de	El licenciado Vidriera	Literatura Universal
Cervantes Saavedra, Miguel de	El licenciado Vidriera	Literatura Hispanoamericana
Cervantes Saavedra, Miguel de	El ingenioso hidalgo don Quijote de la Mancha	Literatura Universal
Cervantes Saavedra, Miguel de	El ingenioso hidalgo don Quijote de la Mancha	Literatura Hispanoamericana
Catarineu, Ricardo J.	Almas errantes	Literatura Universal
Castro, Rosalía de	Poesías	Literatura Hispanoamericana
Castera, Pedro	Carmen: memorias de un corazón	Literatura Hispanoamericana
Casas, Fray Bartolomé de las	Historia de las Indias. Tomo I	Literatura Hispanoamericana
Casas, Fray Bartolomé de las	Historia de las Indias. Tomo I	Historia y Novela histórica
Carroll, Lewis	Through the looking-glass	Infantil y juvenil
Carroll, Lewis	La caza del snark	Infantil y juvenil
Carroll, Lewis	Alicia en el país de las maravillas	Palabras sinfónicas (audiolibros)
Carroll, Lewis	Alicia en el país de las maravillas	Literatura Universal
Carroll, Lewis	Alicia en el país de las maravillas	Infantil y juvenil
Carroll, Lewis	Alice's Adventures in Wonderland	Infantil y juvenil
Capetillo, Luisa	Mi opinión	Ensayo
Cané, Miguel	Juvenilia	Literatura Hispanoamericana
Cané, Miguel	Juvenilia	Historia y Novela histórica
Cané, Miguel	A la distancia	Ensayo
Campos, Rubén M.	Claudio Oronoz	Historia y Novela histórica
Campo, Ángel de	Cartones	Literatura Hispanoamericana
Campo, Ángel de	Apuntes sobre Perico Vera y otros Cartones de Azul	Historia y Novela histórica
Camarillo, María Enriqueta	El consejo del búho y otros cuentos	Literatura Hispanoamericana
Calderón de la Barca, Pedro	La vida es sueño	Literatura Universal
Calderón de la Barca, Pedro	La vida es sueño	Literatura Hispanoamericana
Calderón de la Barca, Pedro	A María el Corazón	Literatura Hispanoamericana
Caballero, Fernán	La Mitología contada a los niños	Infantil y juvenil
Caballero, Fernán	El lobo bobo y la zorra astuta	Literatura Universal
Caballero, Fernán	El lobo bobo y la zorra astuta	Literatura Hispanoamericana
Caballero, Fernán	El lobo bobo y la zorra astuta	Infantil y juvenil
Caballero, Fernán	Cuentos adivinanzas y refranes populares	Literatura Hispanoamericana
